feature,mean_gain,mean_split,gain_share,split_share
away_starter_fip_proxy,75.19690160751342,6.4,0.031888154411943495,0.026666666666666665
home_minus_away_lineup_prev_pa_sum,71.61667385101319,5.2,0.030369915587090124,0.021666666666666664
home_run_diff_last_5,66.8187801361084,6.2,0.02833531080468124,0.02583333333333333
home_starter_whip,60.53068389892578,5.6,0.025668767642902813,0.023333333333333327
home_minus_away_starter_era_last_3,53.40405588150024,5.4,0.022646634951288803,0.0225
home_minus_away_lineup_prev_war_avg,52.38025617599487,4.2,0.022212480319939,0.017499999999999998
home_lineup_prev_pa_sum,51.546730041503906,4.6,0.021859013494646525,0.01916666666666666
home_starter_fip_proxy,50.054595947265625,4.6,0.021226256008856158,0.01916666666666666
home_minus_away_starter_whip,49.72309055328369,4.6,0.021085677142364246,0.01916666666666666
away_starter_fip_proxy_last_3,45.03512001037598,4.8,0.019097686608776265,0.019999999999999997
home_runs_for_last_5,41.46452417373657,4.2,0.01758353231588152,0.017499999999999998
away_starter_np_last_game,41.29536800384521,4.2,0.017511799598842425,0.017499999999999998
home_minus_away_starter_np_last_game,41.02476577758789,4.2,0.01739704745625884,0.017499999999999998
home_minus_away_run_diff_last_5,41.013593673706055,4.0,0.017392309790662593,0.016666666666666663
home_minus_away_runs_for_pg,38.039803981781006,3.8,0.01613123835211177,0.01583333333333333
home_starter_fip_proxy_last_3,37.08964204788208,4.2,0.015728310707264596,0.017499999999999998
away_runs_for_pg,34.560607719421384,3.6,0.01465584315268383,0.015
home_minus_away_runs_against_last_5,33.90486993789673,3.6,0.014377769625929447,0.015
away_win_rate,33.67712230682373,3.8,0.01428119049206412,0.01583333333333333
home_minus_away_lineup_prev_war_sum,33.39398374557495,2.8,0.014161122165204033,0.011666666666666664
away_run_diff_last_5,33.37644186019897,3.4,0.014153683316826138,0.014166666666666664
home_minus_away_starter_starts,30.672693824768068,2.8,0.013007126304479835,0.011666666666666664
away_starter_era_last_3,30.440859699249266,3.4,0.012908814243284978,0.014166666666666664
home_minus_away_starter_fip_proxy,29.875669860839842,2.6,0.012669138665515424,0.010833333333333332
home_starter_era,29.874356079101563,3.2,0.012668581540500453,0.013333333333333332
home_minus_away_lineup_prev_sb_sum,29.7284818649292,3.0,0.012606721818001137,0.012499999999999999
home_minus_away_bullpen_ip_last_3,29.214268016815186,3.2,0.01238866322464307,0.013333333333333332
home_minus_away_starter_fip_proxy_last_3,28.89426193237305,3.0,0.0122529607792589,0.012499999999999999
away_starter_era,28.53821039199829,3.4,0.012101972822902117,0.014166666666666664
home_run_diff_pg,27.532297992706297,2.8,0.011675403519808562,0.011666666666666664
home_minus_away_run_diff_pg,27.138566112518312,3.0,0.011508436760222222,0.012499999999999999
home_starter_era_last_3,26.800486087799072,2.6,0.011365069842152773,0.010833333333333332
